text_type,book_name,bert_feature_clusters_score,starr_feature_clusters_score,random_score_mean,random_score_std
sectarian_texts,CD,0.5330634278002700,0.29487179487179500,0.31658326585695000,0.044829889633940700
sectarian_texts,1QS,0.6388888888888890,0.5578078078078080,0.31538153153153200,0.05633260857525150
sectarian_texts,1QSa,0.4000000000000000,0.35,0.19905,0.12308776340481600
sectarian_texts,Pesharim,0.4915780141843970,0.4002659574468090,0.3207238475177310,0.03961761397246900
sectarian_texts,Mysteries,0.39102564102564100,0.4871794871794870,0.28202564102564100,0.08913437543186800
sectarian_texts,Catena_Florilegium,0.2777777777777780,0.19444444444444400,0.2586277777777780,0.07806854201973050
sectarian_texts,4QS,0.42140151515151500,0.3655303030303030,0.3116751893939390,0.04602242290669710
sectarian_texts,4QD,0.47598343685300200,0.38902691511387200,0.3239977225672880,0.023895386379927100
sectarian_texts,Berakhot,0.2857142857142860,0.3214285714285710,0.24966428571428600,0.06430566793503840
sectarian_texts,4QH,0.4619565217391310,0.2500000000000000,0.3056188405797100,0.0554073223830659
sectarian_texts,4QM,0.45220588235294100,0.2279411764705880,0.29500220588235300,0.07076386618356020
sectarian_texts,Songs_of_Maskil,0.5272727272727270,0.26363636363636300,0.27410363636363600,0.056783828189033300
straddling_texts,Pseudo_Jeremiah,0.38095238095238100,0.2571428571428570,0.28801523809523800,0.0619376684993738
straddling_texts,4QMMT,0.5095238095238100,0.3047619047619050,0.2879304761904760,0.054325382924853600
straddling_texts,Barkhi_Nafshi,0.5,0.22222222222222200,0.2591527777777780,0.07811622666787710
non_sectarian_texts,Book_of_Jubilees,0.5284552845528460,0.4117305458768870,0.31683704994192800,0.046200631018959700
non_sectarian_texts,Collections_of_psalms,0.4363636363636360,0.34545454545454500,0.2723490909090910,0.060984667792693000
non_sectarian_texts,non_biblical_psalms,0.5178571428571430,0.5,0.24792142857142900,0.08845623817136120
