,,,,,,,,,,,,
,,,, ,Glossary,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
, ,Ref,,,Performances,Lex 6,Lex 5,Lex 4,Lex 3,Lex 2,Lex 1,
,,Deu 2:29,,,בני עשו,,,,,עֵשָו,בֵּן,58
,,Deu 2:30,,,מלך חשבון,,,,,חֶשְבּוֹן,מֶלֶךְ,59
,,Deu 2:35,,,ושלל ערים,,,,,עִיר,שְלָל,60
,,Deu 2:36,,,שפת נחל ארנון,,,,אַרְנוֹן,נַחַל,שָפָה,61
,,Deu 2:37,,,ארץ בני עמון,,,,עַמּוֹן,בֵּן ,אֶרֶץ,62
,,Deu 2:37,,,כל יד נחל יבק,,,,יָבֹק,נַחַל,יָד,63
,,Deu 2:37,,,וערי ההר,,,,,הַר,עִיר,64
,,Deu 3:1  ,,,דרך הבשן,,,,,בָּשָן,דֶּרֶךְ,65
,,Deu 3:1,,,מלך הבשן,,,,,בָּשָן,מֶלֶךְ,66
,,Deu 3:2,,,מלך האמרי,,,,,אֱמֹרִי,מֶלֶךְ,68
,,Deu 3:3,,,מלך הבשן,,,,,בָּשָן,מֶלֶךְ,69
,,Deu 3:4,,,כל חבל ארגב,,,,,אַרְגֹּב,חֶבֶל,70
,,Deu 3:4,,,ממלכת עוג,,,,,עוֹג,מַמְלָכָה,71
,,Deu 3:5,,,מערי הפרזי,,,,,פְּרָזִי,עִיר,72
,,Deu 3:6,,,מלך חשבון,,,,,חֶשְבּוֹן,מֶלֶךְ,73
,,Deu 3:7,,,שלל הערים,,,,,עִיר,שָלָל,74
,,Deu 3:8,,,מיד שני מלכי האמרי,,,,אֱמֹרִי,מֶלֶךְ,יָד ,75
,,Deu 3:8,,,בעבר הירדן ,,,,,יַרְדֵּן,עֵבֶר,76
,,Deu 3:8,,,מנחל ארנון,,,,,אַרְנוֹן,נַחַל ,77
,,Deu 3:8,,,הר חרמון,,,,,חֶרְמוֹן,הַר,78
,,Deu 3:10,,,כל ערי המישר,,,,,מישוֹר,עִיר ,79
,,Deu 3:10,,,ערי ממלכת עוג,,,,עוֹג,מַמְלָכָה,עִיר,80
,,Deu 3:11,,,מלך הבשן,,,,,בָּשָן,מֶלֶךְ,81
,,Deu 3:11,,,מיתר הרפאים,,,,,רְפָאִים,יֶתֶר,82
,,Deu 3:11,,,ערש ברזל,,,,,בַּרְזֵל,עֶרֶש,83
,,Deu 3:11,,,בני עמון,,,,,עַמּוֹן,בֵּן,84
,,Deu 3:11,,,בְּאַמַּת אִישׁ,,,,,אִיש,אַמָּה,85
,,Deu 3:12,,,נחל ארנון,,,,,אַרְנוֹן,נַחַל ,86
,,Deu 3:12,,,וחצי הר הגלעד,,,,,גִּלְעָד,הַר ,87
,,Deu 3:13,,,ויתר הגלעד,,,,,גִּלְעָד,יֶתֶר,88
,,Deu 3:13,,,ממלכת עוג,,,,,עוֹג,מַמְלָכָה,89
,,Deu 3:13,,,לחצי שבט המנשה,,,,,מְנַשֶּה,שֶבֶט,90
,,Deu 3:13,,,כל חבל הארגב,,,,,אַרְגֹּב,חֶבֶל ,91
,,Deu 3:13,,,ארץ רפאים,,,,,רְפָאִים,אֶרֶץ,92
,,Deu 3:14,,,בן מנשה,,,,,מְנַשֶּה,בֵּן ,93
,,Deu 3:14,,,כל חבל ארגב,,,,,אַרְגֹּב,חֶבֶל ,94
,,Deu 3:14,,,גבול הגשורי,,,,,גְּשוּרִי,גְּבוּל,95
,,Deu 3:14,,,חַוֹּ֣ת יָאִ֔יר,,,,,יָאִיר,חַוָּה,96
,,Deu 3:16,,,נחל ארנון,,,,,אַרְנוֹן,נַחַל ,97
,,Deu 3:16,,,גבול בני עמון,,,,עַמּוֹן,בֵּן ,גְּבוּל,98
,,Deu 3:17,,,ים הערבה,,,,,עֲרָבָה,יָם,99
,,Deu 3:17,,,ים המלח,,,,,מֶלַח ,יָם,100
,,Deu 3:17,,,אַשְׁדֹּ֥ת הַפִּסְגָּ֖ה,,,,,פִּסְגָּה,אֲשֵדָה,101
,,Deu 3:18,,,בני ישראל,,,,,יִשְרָאֵל,בֵּן,102
,,Deu 3:18,,,כל בני חיל,,,,,חַיִל,בֵּן,103
,,Deu 3:20,,,בְּעֵ֣בֶר הַיַּרְדֵּ֑ן,,,,,יַרְדֵּן,עֵבֶר,104
