,silhouette,jaccard,dasgupta,clustering_accuracy,vectorizer_type
0,0.07453538477420807,0.19682620936780137,0.8317539081407765,0.41243523316062175,dicta-il/BEREL
1,0.07140582799911499,0.15871630023546843,0.827902654365793,0.37098445595854923,onlplab/alephbert-base
2,0.07876699417829514,0.1856922861542769,0.8329717065057758,0.3927461139896373,dicta-il/dictabert
3,0.09006662666797638,0.17814539725410758,0.829089247206928,0.37305699481865284,dicta-il/MsBERT
4,0.08615000545978546,0.2087206162417214,0.8325264405899913,0.42487046632124353,yonatanlou/BEREL-finetuned-DSS-maskedLM
5,0.08548865467309952,0.17502085183092528,0.8151595040058132,0.39689119170984455,yonatanlou/alephbert-base-finetuned-DSS-maskedLM
6,0.07986725121736526,0.1663092167775214,0.8136552635382457,0.3606217616580311,yonatanlou/dictabert-finetuned-DSS-maskedLM
7,0.03744352568745626,0.17671095092410208,0.8513329696388925,0.42901554404145076,tfidf
8,0.014188911925600067,0.19411866373669787,0.7693745133270095,0.42072538860103625,trigram
9,0.41211366456473764,0.06468882201578786,0.4929554236980197,0.16683937823834197,starr
