epoch,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,num_adjs,epochs,hidden_dim,latent_dim,distance,learning_rate,threshold,bert_model,adj_type,num_edges
102,0.19682081043720245,0.9413177967071533,0.6119906306266785,0.8110465407371521,0.587580144405365,0.8128491640090942,0.8128491620111732,0.8128491620111732,0.8128491620111733,0.8392940952798824,0.7045908225752608,0.7337176685707478,0.8194284892428613,0.8128491620111732,0.8074402843990283,1,500,500,100,cosine,0.001,0.999,dicta-il/BEREL,tfidf,21998
89,0.27815619111061096,0.9183253049850464,0.6721113324165344,0.7761628031730652,0.7157715559005737,0.7660614252090454,0.7660614525139665,0.7660614525139665,0.7660614525139665,0.718898892974546,0.6276050698890978,0.6493706553797925,0.7623730822316073,0.7660614525139665,0.7586307054577088,1,500,500,100,cosine,0.001,0.999,dicta-il/BEREL,trigram,21998
88,0.2674188017845154,0.920727550983429,0.668535590171814,0.7819767594337463,0.6983041167259216,0.7695530652999878,0.7695530726256983,0.7695530726256983,0.7695530726256983,0.7216141903190556,0.6318515904234078,0.6519486735710035,0.7681430648036124,0.7695530726256983,0.7618762381447719,2,500,500,100,cosine,0.001,0.999,dicta-il/BEREL,tfidf & trigram,21998
118,0.2438458800315857,0.9351407289505005,0.8792893290519714,0.7616279125213623,0.8263543844223022,0.748603343963623,0.7486033519553073,0.7486033519553073,0.7486033519553071,0.7312236968544475,0.6184331329035418,0.6501281004963818,0.7507860310507481,0.7486033519553073,0.742243992822023,1,500,500,100,cosine,0.001,0.999,onlplab/alephbert-base,tfidf,21998
102,0.3621053993701935,0.9001372456550598,0.9778808951377869,0.7209302186965942,0.9610651731491089,0.7032122611999512,0.7032122905027933,0.7032122905027933,0.7032122905027933,0.6334687875317088,0.5519129841993762,0.5708253446369537,0.6949372807826046,0.7032122905027933,0.6935456143521612,1,500,500,100,cosine,0.001,0.999,onlplab/alephbert-base,trigram,21998
76,0.467443585395813,0.8682223558425903,0.9714153409004211,0.7093023061752319,0.974149763584137,0.6983240246772766,0.6983240223463687,0.6983240223463687,0.6983240223463687,0.6639736739711536,0.5329198229526492,0.5607678621690485,0.6941825568597109,0.6983240223463687,0.687711620433124,2,500,500,100,cosine,0.001,0.999,onlplab/alephbert-base,tfidf & trigram,21998
130,0.22405359148979187,0.9344543814659119,0.7405565977096558,0.7790697813034058,0.7670941948890686,0.7800279259681702,0.7800279329608939,0.7800279329608939,0.7800279329608939,0.7430723371927939,0.6553126017265419,0.6800720933999039,0.7799057631577416,0.7800279329608939,0.7745818242708121,1,500,500,100,cosine,0.001,0.999,dicta-il/dictabert,tfidf,21998
133,0.26824262738227844,0.9248455762863159,0.8203057646751404,0.7412790656089783,0.87705397605896,0.7346368432044983,0.7346368715083799,0.7346368715083799,0.7346368715083799,0.6807763199034013,0.5953235097834579,0.6205188439493151,0.7267787861197319,0.7346368715083799,0.7270207200813106,1,500,500,100,cosine,0.001,0.999,dicta-il/dictabert,trigram,21998
114,0.2957669496536255,0.9121482372283936,0.809039294719696,0.75,0.8599393963813782,0.7311452627182007,0.7311452513966481,0.7311452513966481,0.7311452513966481,0.66124806341163,0.5741456307570149,0.5995760687502071,0.7261465965221999,0.7311452513966481,0.7234731106030511,2,500,500,100,cosine,0.001,0.999,dicta-il/dictabert,tfidf & trigram,21998
120,0.1504535675048828,0.949553906917572,0.4574102759361267,0.8691860437393188,0.5008256435394287,0.8386871218681335,0.8386871508379888,0.8386871508379888,0.8386871508379888,0.8327657239960502,0.7575563511111113,0.7788864379338166,0.8379066149575409,0.8386871508379888,0.8348335613146887,1,500,500,100,cosine,0.001,0.999,dicta-il/MsBERT,tfidf,21998
84,0.27164092659950256,0.9176389575004578,0.5321297645568848,0.8343023061752319,0.5913853645324707,0.8100558519363403,0.8100558659217877,0.8100558659217877,0.8100558659217877,0.7649564498114035,0.7027826962426161,0.7190844389893926,0.8075867001751275,0.8100558659217877,0.8049276199576334,1,500,500,100,cosine,0.001,0.999,dicta-il/MsBERT,trigram,21998
97,0.221381276845932,0.9289636015892029,0.5101576447486877,0.8517441749572754,0.570084273815155,0.8142458200454712,0.8142458100558659,0.8142458100558659,0.8142458100558659,0.7768303770452163,0.7036483399424416,0.7196694938139064,0.8148296134802662,0.8142458100558659,0.8089215085657366,2,500,500,100,cosine,0.001,0.999,dicta-il/MsBERT,tfidf & trigram,21998
81,0.206432044506073,0.9478380084037781,0.6432181596755981,0.8081395626068115,0.6655755639076233,0.7807262539863586,0.7807262569832403,0.7807262569832403,0.7807262569832403,0.7296985261442928,0.6412619291538663,0.6649915948561799,0.7761201749981732,0.7807262569832403,0.7733428756289118,1,500,500,100,cosine,0.001,0.9995,dicta-il/BEREL,tfidf,11000
74,0.2649646997451782,0.9255319237709045,0.6693791151046753,0.7848837375640869,0.6896572709083557,0.7611731886863708,0.7611731843575419,0.7611731843575419,0.7611731843575418,0.7256272065928003,0.6156523686400102,0.6424362831247102,0.7559771910891289,0.7611731843575419,0.7532623348087111,1,500,500,100,cosine,0.001,0.9995,dicta-il/BEREL,trigram,11000
80,0.2277667224407196,0.9385724067687988,0.657707929611206,0.7936046719551086,0.6840161681175232,0.7646648287773132,0.7646648044692738,0.7646648044692738,0.7646648044692738,0.7236451091725887,0.6255548919635195,0.6510067222046928,0.7603775394009011,0.7646648044692738,0.7576801307561263,2,500,500,100,cosine,0.001,0.9995,dicta-il/BEREL,tfidf & trigram,11000
71,0.4289432168006897,0.8840082287788391,0.9426696300506592,0.7093023061752319,0.9584441781044006,0.7136871218681335,0.7136871508379888,0.7136871508379888,0.7136871508379888,0.6409677389298502,0.5230009307351585,0.545491221503576,0.7022979789712701,0.7136871508379888,0.6979992689240566,1,500,500,100,cosine,0.001,0.9995,onlplab/alephbert-base,tfidf,11000
73,0.4369542896747589,0.8843514323234558,0.9864636659622192,0.7093023061752319,0.9922967553138733,0.6857541799545288,0.6857541899441341,0.6857541899441341,0.6857541899441341,0.6206057671174608,0.5247177878094728,0.5480814900664955,0.678088339909108,0.6857541899441341,0.67571747137694,1,500,500,100,cosine,0.001,0.9995,onlplab/alephbert-base,trigram,11000
