epoch,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,num_adjs,epochs,hidden_dim,distance,learning_rate,threshold,bert_model,adj_type,num_edges
161,0.0547674223780632,0.9741518497467041,0.13623690605163574,0.95652174949646,0.15392155945301056,0.9710982441902161,0.9710982658959537,0.9710982658959537,0.9710982658959537,0.9373219373219372,0.944506936632921,0.939371056080688,0.9732226668642854,0.9710982658959537,0.9713535446035573,1,500,300,cosine,0.001,0.99,dicta-il/BEREL,tfidf,7415
237,0.04070049524307251,0.987075924873352,0.10385894030332565,0.95652174949646,0.17200414836406708,0.9653179049491882,0.9653179190751445,0.9653179190751445,0.9653179190751445,0.9325185185185184,0.920697412823397,0.9238191002896885,0.9668310854206806,0.9653179190751445,0.965016924214476,1,500,300,cosine,0.001,0.99,yonatanlou/BEREL-finetuned-DSS-maskedLM,tfidf,7415
83,0.06981983035802841,0.9709208607673645,0.23255190253257751,0.9275362491607666,0.14398318529129028,0.9595375657081604,0.9595375722543352,0.9595375722543352,0.9595375722543352,0.9244890051341664,0.9180727409073866,0.9179232531042683,0.9623399737608204,0.9595375722543352,0.9595227328806709,1,500,300,cosine,0.001,0.99,yonatanlou/BEREL-finetuned-DSS-sectarian-classification,tfidf,7415
127,0.05153254419565201,0.9806138873100281,0.15109585225582123,0.9710144996643066,0.2049630880355835,0.9595375657081604,0.9595375722543352,0.9595375722543352,0.9595375722543352,0.9244890051341664,0.9180727409073866,0.9179232531042683,0.9623399737608204,0.9595375722543352,0.9595227328806709,1,500,300,cosine,0.001,0.99,onlplab/alephbert-base,tfidf,7415
153,0.04305962845683098,0.9822294116020203,0.14423365890979767,0.95652174949646,0.2083636224269867,0.9537572264671326,0.953757225433526,0.953757225433526,0.953757225433526,0.9193185913185914,0.8942632170978628,0.9012422360248448,0.9559014358551932,0.953757225433526,0.9529326583611577,1,500,300,cosine,0.001,0.99,yonatanlou/BEREL-finetuned-DSS-composition-classification,tfidf,7415
111,0.04234683886170387,0.9903069734573364,0.16945308446884155,0.9420289993286133,0.22584564983844757,0.9479768872261047,0.9479768786127167,0.9479768786127167,0.9479768786127167,0.9235431235431236,0.8548697037870266,0.8819465229971066,0.9468571890537208,0.9479768786127167,0.9455451882635256,3,500,300,cosine,0.001,0.99,dicta-il/BEREL,tfidf & trigram & BOW-n_gram,7415
43,0.10322897136211395,0.9644588232040405,0.18050752580165863,0.9710144996643066,0.15509413182735443,0.9479768872261047,0.9479768786127167,0.9479768786127167,0.9479768786127167,0.9155092592592592,0.8492688413948256,0.8697925547030406,0.9475152536929995,0.9479768786127167,0.9443381675364291,2,500,300,cosine,0.001,0.99,yonatanlou/BEREL-finetuned-DSS-sectarian-classification,tfidf & BOW-n_gram,7415
43,0.10388346016407013,0.9660742878913879,0.18041810393333435,0.9710144996643066,0.15603284537792206,0.9421965479850769,0.9421965317919075,0.9421965317919075,0.9421965317919075,0.9119478282268979,0.8388521747281589,0.8632584360804673,0.941415150099113,0.9421965317919075,0.9386261314063011,1,500,300,cosine,0.001,0.99,yonatanlou/BEREL-finetuned-DSS-sectarian-classification,BOW-n_gram,7415
59,0.08263403177261353,0.9757673740386963,0.15221139788627625,0.9710144996643066,0.19346466660499573,0.9421965479850769,0.9421965317919075,0.9421965317919075,0.9421965317919075,0.8917748917748917,0.8678290213723284,0.8752011160195302,0.9414291553019877,0.9421965317919075,0.9403460144367556,2,500,300,cosine,0.001,0.99,yonatanlou/BEREL-finetuned-DSS-composition-classification,tfidf & BOW-n_gram,7415
88,0.04161202907562256,0.9886914491653442,0.17071984708309174,0.9420289993286133,0.243845596909523,0.9421965479850769,0.9421965317919075,0.9421965317919075,0.9421965317919075,0.918478372021679,0.8812218785151856,0.8953343518627336,0.9426019067637563,0.9421965317919075,0.9411094814942628,2,500,300,cosine,0.001,0.99,yonatanlou/BEREL-finetuned-DSS-composition-classification,tfidf & trigram,7415
60,0.08284736424684525,0.9725363254547119,0.15066048502922058,0.9710144996643066,0.1961560994386673,0.9421965479850769,0.9421965317919075,0.9421965317919075,0.9421965317919075,0.8917748917748917,0.8678290213723284,0.8752011160195302,0.9414291553019877,0.9421965317919075,0.9403460144367556,1,500,300,cosine,0.001,0.99,yonatanlou/BEREL-finetuned-DSS-composition-classification,BOW-n_gram,7415
88,0.04161202907562256,0.9886914491653442,0.17071984708309174,0.9420289993286133,0.243845596909523,0.9421965479850769,0.9421965317919075,0.9421965317919075,0.9421965317919075,0.918478372021679,0.8812218785151856,0.8953343518627336,0.9426019067637563,0.9421965317919075,0.9411094814942628,1,500,300,cosine,0.001,0.99,yonatanlou/BEREL-finetuned-DSS-composition-classification,trigram,7415
82,0.10587591677904129,0.9757673740386963,0.17861108481884003,0.95652174949646,0.2081126570701599,0.9364162087440491,0.9364161849710982,0.9364161849710982,0.9364161849710982,0.914848227825327,0.8284355080614922,0.8599898023558286,0.9349658612333457,0.9364161849710982,0.932688504931151,2,500,300,cosine,0.001,0.99,dicta-il/BEREL,tfidf & BOW-n_gram,7415
90,0.10703931003808975,0.9741518497467041,0.16201350092887878,0.9710144996643066,0.1910817176103592,0.9364162087440491,0.9364161849710982,0.9364161849710982,0.9364161849710982,0.914848227825327,0.8284355080614922,0.8599898023558286,0.9349658612333457,0.9364161849710982,0.932688504931151,1,500,300,cosine,0.001,0.99,yonatanlou/BEREL-finetuned-DSS-maskedLM,BOW-n_gram,7415
