epoch,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,num_adjs,epochs,hidden_dim,distance,learning_rate,threshold,bert_model,adj_type,num_edges
110,0.32226744294166565,0.8904109597206116,0.7521243691444397,0.7538461685180664,0.7307876348495483,0.7914110422134399,0.7914110429447853,0.7914110429447853,0.7914110429447851,0.7177009858828041,0.6631379585326953,0.6758163283526716,0.7831777288832503,0.7914110429447853,0.7757791947262186,3,500,300,cosine,0.001,0.99,yonatanlou/BEREL-finetuned-DSS-maskedLM,tfidf & trigram & BOW-n_gram,6594
83,0.41875362396240234,0.8784246444702148,0.7712481021881104,0.7230769395828247,0.8032143115997314,0.7668711543083191,0.7668711656441718,0.7668711656441718,0.7668711656441717,0.6622792227535311,0.6197793726741095,0.6173197727553129,0.7477574439430935,0.7668711656441718,0.738751432094456,2,500,300,cosine,0.001,0.99,yonatanlou/BEREL-finetuned-DSS-maskedLM,trigram & BOW-n_gram,6594
76,0.44985732436180115,0.8784246444702148,0.8699778914451599,0.7230769395828247,0.8312824368476868,0.7607361674308777,0.7607361963190185,0.7607361963190185,0.7607361963190185,0.6561692095783006,0.6114965443912813,0.6115413943523342,0.74006428132195,0.7607361963190185,0.7331139649303614,2,500,300,cosine,0.001,0.99,yonatanlou/BEREL-finetuned-DSS-maskedLM,tfidf & trigram,6594
96,0.31782886385917664,0.8869863152503967,0.8293906450271606,0.7230769395828247,0.8283783197402954,0.7607361674308777,0.7607361963190185,0.7607361963190185,0.7607361963190185,0.6973766132857043,0.6348653831548569,0.6452691628298177,0.7648831400365143,0.7607361963190185,0.7464488198299764,3,500,300,cosine,0.001,0.99,dicta-il/BEREL,tfidf & trigram & BOW-n_gram,6594
78,0.32689169049263,0.8886986374855042,0.7068629860877991,0.7538461685180664,0.8290345072746277,0.7607361674308777,0.7607361963190185,0.7607361963190185,0.7607361963190185,0.7043937123482578,0.6429089769879245,0.6481307291613034,0.7673461507817335,0.7607361963190185,0.7479895212659244,3,500,300,cosine,0.001,0.99,onlplab/alephbert-base,tfidf & trigram & BOW-n_gram,6594
72,0.47024738788604736,0.8732876777648926,0.8631023168563843,0.7230769395828247,0.836001455783844,0.754601240158081,0.754601226993865,0.754601226993865,0.754601226993865,0.6547298156389065,0.5963450292397662,0.5969920958706891,0.7363730747779828,0.754601226993865,0.7252513467381669,1,500,300,cosine,0.001,0.99,yonatanlou/BEREL-finetuned-DSS-maskedLM,trigram,6594
77,0.38967472314834595,0.8801369667053223,0.8465263247489929,0.7076923251152039,0.8925512433052063,0.7423312664031982,0.7423312883435583,0.7423312883435583,0.7423312883435583,0.6467368490095763,0.6002760689602795,0.5962353829214112,0.7260851282323676,0.7423312883435583,0.7145127203882331,2,500,300,cosine,0.001,0.99,dicta-il/BEREL,trigram & BOW-n_gram,6594
70,0.3703362047672272,0.8801369667053223,0.7593076825141907,0.7692307829856873,0.8701908588409424,0.7361963391304016,0.7361963190184049,0.7361963190184049,0.7361963190184049,0.6293666560712015,0.6032053618895724,0.5971477902589963,0.7355097101262745,0.7361963190184049,0.7208006808371286,2,500,300,cosine,0.001,0.99,onlplab/alephbert-base,tfidf & trigram,6594
69,0.4240891933441162,0.8801369667053223,0.9381744265556335,0.7076923251152039,0.911745011806488,0.7361963391304016,0.7361963190184049,0.7361963190184049,0.7361963190184049,0.5831615354342626,0.5838619275461382,0.5709508184911157,0.7005594609889089,0.7361963190184049,0.705810395293838,1,500,300,cosine,0.001,0.99,dicta-il/BEREL,trigram,6594
69,0.3731966018676758,0.8818492889404297,0.7208034992218018,0.7692307829856873,0.863602340221405,0.7300613522529602,0.7300613496932515,0.7300613496932515,0.7300613496932515,0.6146263050674816,0.5944241285030759,0.5897361922094543,0.722390060318606,0.7300613496932515,0.7152472642638648,2,500,300,cosine,0.001,0.99,onlplab/alephbert-base,trigram & BOW-n_gram,6594
69,0.3730887174606323,0.8801369667053223,0.7616199254989624,0.7692307829856873,0.8697484731674194,0.7300613522529602,0.7300613496932515,0.7300613496932515,0.7300613496932515,0.6233052931916568,0.5975235437077543,0.5921153353079177,0.7304613842190529,0.7300613496932515,0.7158704715669385,1,500,300,cosine,0.001,0.99,onlplab/alephbert-base,trigram,6594
68,0.4314349591732025,0.8767123222351074,0.9368014931678772,0.7076923251152039,0.9170968532562256,0.7300613522529602,0.7300613496932515,0.7300613496932515,0.7300613496932515,0.5715273363000636,0.5724982911825017,0.5576308051711025,0.693182890728903,0.7300613496932515,0.6979450500051799,2,500,300,cosine,0.001,0.99,dicta-il/BEREL,tfidf & trigram,6594
88,0.4585016369819641,0.8595890402793884,0.8493397235870361,0.7076923251152039,0.9407676458358765,0.7177914381027222,0.7177914110429447,0.7177914110429447,0.7177914110429446,0.643736728086298,0.6164859117490695,0.6134541589469014,0.7152421257213907,0.7177914110429447,0.7043990390641933,2,500,300,cosine,0.001,0.99,yonatanlou/BEREL-finetuned-DSS-maskedLM,tfidf & BOW-n_gram,6594
85,0.476072758436203,0.8613013625144958,0.855303943157196,0.7076923251152039,0.942546546459198,0.7116564512252808,0.7116564417177914,0.7116564417177914,0.7116564417177914,0.6366465959961659,0.6108040935672514,0.607830697441087,0.7069048597154131,0.7116564417177914,0.6980062979186554,1,500,300,cosine,0.001,0.99,yonatanlou/BEREL-finetuned-DSS-maskedLM,BOW-n_gram,6594
