,vectorizer_type,ari,jaccard,dasgupta
6,tfidf,-0.0442152690734617,0.0449682230710549,0.8829035167701609
2,dicta-il/dictabert,-0.04804660671273099,0.10467273020123419,0.813244097787057
3,yonatanlou/BEREL-finetuned-DSS-maskedLM,-0.04804660671273099,0.10467273020123419,0.8097363356056122
1,onlplab/alephbert-base,-0.04602966465167778,0.10140333166903688,0.8080514021548834
0,dicta-il/BEREL,-0.050900953630292206,0.10957744098308951,0.8073320076468643
4,yonatanlou/alephbert-base-finetuned-DSS-maskedLM,-0.057356018604561354,0.10012248550652088,0.7922910867818509
5,yonatanlou/dictabert-finetuned-DSS-maskedLM,-0.04676867908699229,0.0837483810601451,0.7899185808107924
7,trigram,-0.029238674561702118,0.7744195393089898,0.7741003331011974
8,starr,0.09198627449658558,0.7215189414376362,0.5139411686526432
