,vectorizer_type,ari,jaccard,dasgupta
6,tfidf,0.2398085255968636,0.0012014024705228814,0.8679900860503075
2,dicta-il/dictabert,0.23604565621185977,0.01960584605598917,0.833365870617347
0,dicta-il/BEREL,0.2321582515907782,0.0027519779841761265,0.8314738303234406
3,yonatanlou/BEREL-finetuned-DSS-maskedLM,0.24707381890502964,0.022631890152059058,0.8262649825324118
1,onlplab/alephbert-base,0.21104711660298014,0.0055947244729734474,0.8183222268672383
5,yonatanlou/dictabert-finetuned-DSS-maskedLM,0.20758786942094565,0.00252530836896162,0.8124008846150307
7,trigram,0.17765544003707168,0.007589869156445184,0.7971278724130504
4,yonatanlou/alephbert-base-finetuned-DSS-maskedLM,0.24093161638347008,0.017164528218579007,0.775002186705033
8,starr,0.06319033374413394,0.0027718312631766296,0.5032431413123623
