text_type,book_name,bert_feature_clusters_score,bert_feature_random_score_mean,bert_feature_random_score_std,starr_feature_clusters_score,starr_feature_random_score_mean,starr_feature_random_score_std,trigram_feature_clusters_score,trigram_feature_random_score_mean,trigram_feature_random_score_std
sectarian_texts,CD,0.5391025641025641,0.3160502564102564,0.039150668841578334,0.3012820512820511,0.31720910256410245,0.044794452326386444,0.44166666666666654,0.3168639743589742,0.026912857180915746
sectarian_texts,1QS,0.6388888888888888,0.3149555555555555,0.039498000653947825,0.5578078078078078,0.3149596096096096,0.05498053049476458,0.6869369369369369,0.31335990990990986,0.043981108012231866
sectarian_texts,1QSa,0.4,0.22341333333333338,0.0819717718350517,0.3666666666666667,0.22172666666666674,0.08115387825332533,0.2333333333333334,0.22233333333333338,0.06355312738174261
sectarian_texts,Pesharim,0.49149659863945594,0.31961284013605457,0.02734348727550083,0.4039115646258504,0.3194399659863947,0.037948718228145634,0.49192176870748305,0.31904022108843544,0.030297938303074326
sectarian_texts,1QM,0.5768292682926828,0.3163906097560974,0.04458538062906704,0.501219512195122,0.31672780487804875,0.051254143312152826,0.5932926829268291,0.31679195121951204,0.04216412973685558
sectarian_texts,Hodayot,0.5187793427230046,0.3242323161189359,0.028006302944430947,0.3890845070422537,0.32332265258215975,0.03707767910467431,0.5266040688575899,0.3234794992175274,0.026894017572879875
non_sectarian_texts,Book_of_Jubilees,0.5284552845528456,0.31709233449477353,0.0334436712148172,0.4117305458768873,0.3176207897793263,0.04564515250216676,0.48083623693379784,0.3176361207897794,0.026408629572120302
sectarian_texts,Musar Lamevin,0.6473469387755102,0.32084375510204083,0.043498603737825395,0.4395918367346938,0.31977844897959185,0.047251015019272535,0.4710204081632653,0.3198622857142857,0.027433112965971406
sectarian_texts,Mysteries,0.40109890109890123,0.28493626373626374,0.061380869012969706,0.4835164835164836,0.2855714285714286,0.0746455869541722,0.3626373626373627,0.28573516483516487,0.04082746114004804
sectarian_texts,Catena_Florilegium,0.3111111111111112,0.2663911111111112,0.04672296202347315,0.24444444444444446,0.2666711111111112,0.06280756406439995,0.30000000000000004,0.2691200000000001,0.07376543350544963
sectarian_texts,4QS,0.4251336898395722,0.3143395721925134,0.039255832219864326,0.37254901960784315,0.3127896613190732,0.04382171494088292,0.4509803921568627,0.3137017825311943,0.03963068668684434
sectarian_texts,4QD,0.4589537223340041,0.32436889336016095,0.03370508035520321,0.3919517102615695,0.3240207243460765,0.0234432826478209,0.49979879275653916,0.3236075251509053,0.022190892196991736
sectarian_texts,Berakhot,0.2857142857142858,0.25038214285714294,0.05170604105056246,0.3214285714285714,0.2507107142857143,0.06471142762137085,0.3035714285714286,0.2501107142857143,0.0656700199319076
non_sectarian_texts,Collections_of_psalms,0.4363636363636363,0.27395636363636355,0.09076047896606079,0.34545454545454546,0.2715709090909091,0.06175519529120238,0.3727272727272726,0.27258909090909084,0.05769237954748651
sectarian_texts,4QH,0.4619565217391306,0.30523043478260886,0.06079641686578005,0.2500000000000001,0.30425434782608707,0.054471783078524544,0.4057971014492754,0.305872463768116,0.053516568915600464
sectarian_texts,4QM,0.4509803921568627,0.2964529411764706,0.04850108621205288,0.2549019607843137,0.2982928104575163,0.06266867437293656,0.2941176470588235,0.29567320261437896,0.05049553919736801
sectarian_texts,Songs_of_Maskil,0.5151515151515152,0.2777409090909092,0.0735760995293087,0.2954545454545454,0.27750909090909087,0.04787782085713121,0.3257575757575757,0.2776075757575758,0.05125603637545481
non_sectarian_texts,non_biblical_psalms,0.5,0.2592305555555556,0.06711209246661076,0.48611111111111116,0.25867500000000004,0.0685724064807088,0.26388888888888884,0.26019444444444434,0.04061554733332035
