vectorizer_type,ari,nmi,fmi,jaccard
dicta-il/BEREL,0.26464593470028663,0.5285269681871406,0.3149981799789678,0.00532544508763296
onlplab/alephbert-base,0.28886898558604157,0.5382606368532326,0.33781086895916856,0.08088520294452463
dicta-il/dictabert,0.3049455780987637,0.5615395632520891,0.35325723935500775,0.05397326648956611
tfidf,0.18043107291807406,0.5183117834616834,0.28609040244388034,0.014342102279877884
trigram,0.21918882572772164,0.5271813004834868,0.2930214414151565,0.005529948123153548
starr,0.11648548911923225,0.3107814589902059,0.18735004473673458,0.026562903947434036
