node_name,regen,rectum,regen/total
שִטָּה,0,1,0.0
נחל,0,1,0.0
מים,0,2,0.0
לֵוִי,0,3,0.0
עָרְלָה,1,0,1.0
אָדוֹן,1,3,0.25
מִשְפָּט,13,5,0.7222222222222222
יָתוֹם,0,3,0.0
אַלְמָנָה,0,4,0.0
מוּסָר,6,2,0.75
אֱלִיאָב,0,1,0.0
רְאוּבֵן,0,1,0.0
גַּן,1,0,1.0
יֶרֶק,1,1,0.5
מָטָר,2,0,1.0
רֵאשִית,14,0,1.0
שָנָה,8,5,0.6153846153846154
אַחֲרִית,4,0,1.0
גְּרִזִּים,0,1,0.0
עֵיבָל,0,1,0.0
מָבוֹא,1,1,0.5
אָלוֹן,1,0,1.0
מֹרֶה,0,1,0.0
תְּרוּמָה,1,1,0.5
בְּכוֹר,4,1,0.8
בָּקָר,0,3,0.0
מִשְלָח,1,0,1.0
מִבְחָר,1,0,1.0
נֶדֶר,0,2,0.0
אַוָּה,1,0,1.0
נֶפֶש,12,22,0.35294117647058826
בְּרָכָה,3,2,0.6
מַעֲשֵר,4,1,0.8
דָּגָן,0,4,0.0
תִּירוֹש,0,3,0.0
יִצְהָר,0,2,0.0
צאן,0,1,0.0
מִזְבֵּחַ,1,1,0.5
דָּם,8,5,0.6153846153846154
זֶבַח,8,3,0.7272727272727273
נָבִיא,0,1,0.0
חֹלֵם,1,0,1.0
חֲלוֹם,0,1,0.0
אִמָּא,0,1,0.0
חֵיק,1,2,0.3333333333333333
בְּלִיָעָל,0,6,0.0
יֹשֵב,9,1,0.9
תֵּל,1,0,1.0
עוֹלָם,0,15,0.0
חָרוֹן,1,0,1.0
סְגֻלָּה,0,1,0.0
שֶה,2,0,1.0
כֶּבֶש,0,1,0.0
עֵז,0,2,0.0
מְפַרֵס,1,0,1.0
פַּרְסָה,0,2,0.0
שֹסֵעַ,1,0,1.0
שֶסַע,0,1,0.0
מַעֲלֶה,2,0,1.0
גֵּרָה,0,1,0.0
גֵּרָה,0,1,0.0
מַפְרִיס,1,0,1.0
בַּת,8,5,0.6153846153846154
יַעֲנָה,0,1,0.0
שֶרֶץ,1,0,1.0
עוֹף,3,1,0.75
אֵם,1,12,0.07692307692307693
תְּבוּאָה,4,5,0.4444444444444444
זֶרַע,4,4,0.5
שְמִטָּה,0,3,0.0
מַשֵּה,1,0,1.0
דַּי,1,0,1.0
מַחְסוֹר,0,2,0.0
שֶבַע,1,2,0.3333333333333333
שָכָר,1,0,1.0
שָכִיר,0,1,0.0
שוֹר,1,2,0.3333333333333333
חֹדֶש,1,0,1.0
אָבִיב,0,1,0.0
לֶחֶם,12,5,0.7058823529411765
עָנִי,1,7,0.125
חַג,3,1,0.75
שָבוּעַ,0,1,0.0
מִסָּה,2,0,1.0
נְדָבָה,1,2,0.3333333333333333
סֻכָּה,0,2,0.0
