edge_name,weight
ץֶרֶא (-) ןֶפֶּג,1
ץֶרֶא (-) הָנֵאְּת,1
ץֶרֶא (-) ןֹוּמִר,1
ץֶרֶא (-) תִיַז,1
ץֶרֶא (-) ןֶמֶש,1
ץֶרֶא (-) שָבְּד,1
םֶצֹע (-) דָי,1
ןֵּב (-) קָנֲע,2
הָעְשִר (-) יֹוג,2
רָשָי (-) בָבֵל,1
הֶשָק (-) ףֶרֹע,2
ַחּול (-) תיִרְּב,3
עַּבְצֶא (-) םיִהֹלֱא,1
םֹוי (-) לֵהְקַה,3
ץֵק (-) םיִעָּבְרַא,1
ץֵק (-) םוי,1
לֶגֵע (-) הָכֵּסַמ,1
הֶשָק (-) םַע,1
ןֹורֲא (-) ץֵע,2
ןֹורֲא (-) הָּטִש,1
ץֶרֶא (-) לחנ,1
ץֶרֶא (-) םימ,1
טֶבֶש (-) יִוֵל,2
ןֹורֲא (-) תִיַּב,1
ןֹורֲא (-) הָוֹהְי,2
םִיַמָש (-) םִיַמָש,2
הָלְרָע (-) בָבֵל,1
םיִהֹלֱא (-) םיִהֹלֱא,2
ןֹודָא (-) ןֹודָא,2
טָּפְשִמ (-) םֹותָי,3
טָּפְשִמ (-) הָנָמְלַא,2
בָכֹוּכ (-) םִיַמָש,2
רָסּומ (-) הָוֹהְי,2
לִיַח (-) םִיַרְצִמ,1
םִיַמ (-) םָי,2
םִיַמ (-) ףּוס,1
ןֵּב (-) בָאיִלֱא,1
ןֵּב (-) ןֵבּואְר,1
הֶשֲעַמ (-) הָוֹהְי,3
ןַּג (-) קֶרֶי,1
ץֶרֶא (-) רַה,1
רָטָמ (-) םִיַמָש,1
תיִשאֵר (-) הָנָש,1
תיִרֲחַא (-) הָנָש,1
רָטָמ (-) ץֶרֶא,3
הָזּוזְמ (-) תִיָּב,1
םֹוי (-) ןֵּב,1
םֹוי (-) םִיַמָש,2
ףַּכ (-) לֶגֶר,4
רַה (-) םיִּזִרְּג,2
רַה (-) לָביֵע,3
ְךֶרֶּד (-) אֹובָמ,1
ְךֶרֶּד (-) שֶמֶש,1
ןֹולָא (-) הֶרֹמ,1
הָמּורְּת (-) דָי,3
רֹוכְּב (-) רָקָּב,4
רֹוכְּב (-) ןאֹצ,4
חָלְשִמ (-) דָי,6
רָחְבִמ (-) רֶדֶנ,1
הָּוַא (-) שֶפֶנ,4
הָכָרְּב (-) הָוֹהְי,6
רֵשֲעַמ (-) ןָגָּד,2
רֵשֲעַמ (-) שֹוריִּת,2
רֵשֲעַמ (-) רָהְצִי,2
רֹוכְּב (-) ןאצ,1
ַחֵּבְזִמ (-) הָוֹהְי,4
םָּד (-) חַבֶז,1
רָבָּד (-) איִבָנ,1
םֵלֹח (-) םֹולֲח,1
תִיָּב (-) דֶבֶע,2
ןֵּב (-) אָּמִא,1
הָּשִא (-) קיֵח,2
הֶצָק (-) ץֶרֶא,9
דָי (-) םַע,2
ןֵּב (-) לָעָיִלְּב,1
בֵשֹי (-) ריִע,2
לֵּת (-) םָלֹוע,1
ןֹורָח (-) ףַא,4
םַע (-) הָּלֻגְס,2
הֶש (-) שֶבֶּכ,1
הֶש (-) זֵע,1
סֵרַפְמ (-) הָסְרַּפ,1
ַעֵסֹש (-) עַסֶש,1
הֶלֲעַמ (-) הָרֵּג,1
הֶלֲעַמ (-) הָרֵּג,2
סיִרְפַמ (-) הָסְרַּפ,2
תַּב (-) הָנֲעַי,1
ץֶרֶש (-) ףֹוע,1
בָלָח (-) םֵא,1
הָאּובְּת (-) עַרֶז,1
הֶצָק (-) הָנָש,1
רֵשֲעַמ (-) הָאּובְּת,2
ץֵק (-) הָנָש,2
רָבָּד (-) הָּטִמְש,1
הֵּשַמ (-) דָי,1
יַּד (-) רֹוסְחַמ,1
הָנָש (-) עַבֶש,1
הָנָש (-) הָּטִמְש,1
דֶבֶע (-) םָלֹוע,1
רָכָש (-) ריִכָש,1
רֹוכְּב (-) רֹוש,2
שֶדֹח (-) ביִבָא,2
םֶחֶל (-) יִנָע,1
גַח (-) ַעּובָש,2
הָּסִמ (-) הָבָדְנ,1
הָּסִמ (-) דָי,1
גַח (-) הָּכֻס,3
הֶנָּפ (-) הָוֹהְי,3
גַח (-) הָּצַמ,1
הָנָּתַמ (-) דָי,1
טָּפְשִמ (-) קֶדֶצ,4
ןִיַע (-) םָכָח,1
רָבָּד (-) קיִּדַצ,1
חֵּבְזִמ (-) הָוֹהְי,1
הָבֵעֹות (-) הָוֹהְי,1
דָי (-) דֵע,1
רָבָּד (-) ביִר,1
רָבָּד (-) טָּפְשִמ,1
אֵסִּכ (-) הָכָלְמַמ,1
הֶנְשִמ (-) הָרֹוּת,1
רָבָּד (-) הָרֹוּת,8
הָּשִא (-) הָוֹהְי,1
טָּפְשִמ (-) ןֵהֹּכ,1
חַבֶז (-) חַבֶז,1
תיִשאֵר (-) ןָגָּד,1
תיִשאֵר (-) שֹוריִּת,1
תיִשאֵר (-) רָהְצִי,1
תיִשאֵר (-) זֵּג,1
תיִשאֵר (-) ןאֹצ,1
הָבֵעֹוּת (-) יֹוּג,1
םֵש (-) םיִהֹלֱא,6
לּובְּג (-) ץֶרֶא,2
רָבָּד (-) ַחֵצֹר,1
לֵאּג (-) םָּד,1
טָּפְשִמ (-) תֶוָמ,1
ןֵקָז (-) ריִע,10
דָי (-) לֵאֹּג,1
דָי (-) םָּד,1
םָּד (-) יִקָנ,1
לּובְּג (-) ַעֵר,2
דֵע (-) סָמָח,2
דֵע (-) רֶקֶש,8
ְךַר (-) בָבֵל,1
בָבֵל (-) חָא,1
רַש (-) אָבָצ,1
שאֹר (-) םַע,3
לָלָש (-) בֵיֹא,1
ריִע (-) יֹוּג,1
ריִע (-) םַע,1
ץֵע (-) הֶדָש,1
ץֵע (-) לָכֲאַמ,1
הָלְגֶע (-) רָקָּב,1
ןֵּב (-) יִוֵל,2
הָּשִא (-) הֶפָי,1
הָּשִא (-) רַאֹּת,1
הָלְמִש (-) יִבֶש,1
חַרֶי (-) םֹוי,1
ןֵּב (-) בּוהָא,1
ןֵּב (-) אּונָש,2
תיִשאֵר (-) ןֹוא,2
טָּפְשִמ (-) רֹוכְּב,1
לֹוק (-) בָא,1
לֹוק (-) םֵא,1
רַעַש (-) םֹוקָמ,2
שיִא (-) ריִע,2
אְטֵח (-) טָּפְשִמ,1
אְטֵח (-) תֶוָמ,2
הָלָלְק (-) םיִהֹלֱא,1
רֹוש (-) חָא,1
הָדֵבֲא (-) חָא,1
רֹומֲח (-) חָא,1
יִלְּכ (-) רֶבֶּג,1
הָלְמִש (-) הָּשִא,1
ןֵק (-) רֹוּפִצ,1
הָאּובְּת (-) םֶרֶּכ,1
ףָנָּכ (-) תּוסְּכ,1
הָליִלֲע (-) רָבָּד,1
בָא (-) רַעַנ,4
םיִלּותְּב (-) רַעַנ,1
הָליִלֲע (-) רָבָד,1
םיִלּותְּב (-) תַּב,1
לּותָּב (-) לֵאָרְשִי,1
חַתֶּפ (-) תִיָּב,3
חַתֶּפ (-) בָא,1
תִיָּב (-) בָא,1
לּועָּב (-) לַעַּב,1
רַעַש (-) ריִע,1
הָּשִא (-) בָא,1
ףָנָּכ (-) בָא,2
ַעּוצָּפ (-) אָּכּד,1
תּורָּכ (-) הָכְפָש,1
לָהָק (-) הָוֹהְי,5
ןֵּב (-) רֹועְּב,1
הֶרָק (-) הָלְיַל,1
הָוְרֶע (-) רָבָּד,2
תַּב (-) לֵאָרְשִי,1
ןַנְתֶא (-) הָנֹז,1
ריִחְמ (-) בֶלֶּכ,1
תִיַּב (-) הָוֹהְי,7
ְךֶשֶנ (-) ףֶסֶּכ,1
ְךֶשֶנ (-) לֶכֹא,1
ְךֶשֶנ (-) רָבָּד,1
אָצֹומ (-) הָפָש,2
םֶרֶּכ (-) ַעֵר,1
הָמָק (-) ַעֵר,2
רֶפֵס (-) תּותיִרְּכ,2
עַגֶנ (-) תַעַרָצ,1
הָאָּשַמ (-) הָמּואְמ,1
טָּפְשִמ (-) רֵּג,2
דֶגֶּב (-) הָנָמְלַא,1
ןֵּב (-) תֹוּכַה,1
הָּשִא (-) תֵמ,1
םֵש (-) חָא,1
ןִיַע (-) ןֵקָז,1
תִיָּב (-) חָא,2
תִיָּב (-) ץּולֲח,1
תִיָּב (-) לַעַנ,1
הָּשִא (-) דָחֶא,1
דָי (-) הֵּכַמ,1
הֵשֹע (-) לֶוָע,1
רֶכֵז (-) קֵלָמֲע,1
תיִשאֵר (-) יִרְּפ,2
תיִשאֵר (-) הָמָדֲא,2
םיִתְמ (-) טַעְמ,1
הָנָש (-) רֵשֲעַמ,1
ןֹועָמ (-) שֶדֹק,2
ןֵקָז (-) לֵאָרְשִי,2
חֵּבְזִמ (-) ןֶבֶא,1
שיִא (-) לֵאָרְשִי,2
הֶשֲעַמ (-) שָרָח,1
הָּשִא (-) בָא,1
תַּב (-) בָא,1
תַּב (-) םֵא,1
הֵּכַמ (-) ַעֵר,1
שֶפֶנ (-) םָּד,1
יֹוּג (-) ץֶרֶא,1
יִרְּפ (-) ןֶטֶּב,6
יִרְּפ (-) הָמֵהְּב,5
םַע (-) ץֶרֶא,1
