node_name,regen,rectum,regen/total
עָרְלָה,1,0,1.0
מוֹסָד,3,0,1.0
עֹבֵר,4,0,1.0
מִתְנַדֵּב,0,1,0.0
שְבוּעָה,2,0,1.0
אִסָּר,0,1,0.0
תּוֹרָה,1,3,0.25
שֹמֶר,2,0,1.0
דֹּרֵש,5,1,0.8333333333333330
רָצוֹן,1,9,0.1
הֶבֶל,0,2,0.0
מְנַאֵץ,1,0,1.0
אַהֲרֹן,0,2,0.0
כֹּהֵן,0,1,0.0
רֵאשִית,12,0,1.0
לֶחֶם,2,1,0.6666666666666670
תִּירוֹש,0,2,0.0
לַיְלָה,1,3,0.25
שָנָה,1,6,0.14285714285714300
מוֹשָב,4,0,1.0
רַב,1,10,0.09090909090909090
רֵעַ,0,2,0.0
חֵפֶץ,1,0,1.0
רֹאש,11,0,1.0
הוֹן,5,1,0.8333333333333330
מְלָאכָה,1,0,1.0
מַשְקֶה,3,0,1.0
מִדְרָש,2,0,1.0
קֹצֶר,1,0,1.0
יֶסוֹד,1,0,1.0
עָמִית,0,1,0.0
יְסוֹד,5,1,0.8333333333333330
עֹשֶה,1,0,1.0
עֵת,2,5,0.2857142857142860
מַטַּעַת,3,1,0.75
בָּחִיר,6,0,1.0
חוֹמָה,2,0,1.0
בֹּחַן,0,1,0.0
פִּנָה,1,0,1.0
יָקָר,0,1,0.0
דַעַת,1,3,0.25
רֵיחַ,1,0,1.0
נִיחוֹחַ,1,1,0.5
חֻקָּה,2,0,1.0
יִרְאָה,1,0,1.0
מַעַל,2,1,0.6666666666666670
עֹלָה,0,1,0.0
חֵלֶב,1,0,1.0
זֶבַח,0,1,0.0
תְּרוּמָה,2,0,1.0
שָפָה,3,8,0.2727272727272730
נְדָבָה,2,0,1.0
מִנְחָה,0,1,0.0
מָשִיחַ,2,0,1.0
מִשְקָל,4,0,1.0
בּוֹר,1,0,1.0
כַּף,1,3,0.25
שָחָת,0,1,0.0
פֶּלֶא,1,6,0.14285714285714300
תִּכּוּן,1,0,1.0
שִנְאָה,1,0,1.0
סֵתֶר,0,1,0.0
עָמָל,1,0,1.0
מִשְלוֹחַ,2,1,0.6666666666666670
אֵמֶר,1,0,1.0
אַשְמוּר,0,1,0.0
זְבֻל,1,0,1.0
