silhouette,jaccard,dasgupta,clustering_accuracy,epoch,num_adjs,epochs,hidden_dim,latent_dim,distance,learning_rate,threshold,bert_model,adj_type,num_edges
0.24963905,0.20941447971833485,0.8475505022337174,0.43626943005181346,242,2,250,300,100,cosine,0.001,0.99,dicta-il/MsBERT,tfidf & BOW-n_gram,9313
0.17586598,0.17369455362156092,0.7671764812303006,0.3844559585492228,189,2,250,300,100,cosine,0.001,0.99,dicta-il/MsBERT,tfidf & starr,9313
0.2471575,0.19522807826412703,0.8420805877369973,0.39585492227979274,229,2,250,300,100,cosine,0.001,0.99,dicta-il/MsBERT,trigram & BOW-n_gram,9313
0.17650926,0.1732238035056871,0.7749043782208309,0.40103626943005183,196,2,250,300,100,cosine,0.001,0.99,dicta-il/MsBERT,trigram & starr,9313
0.1679196,0.13568104906937395,0.7324844391226084,0.34404145077720205,114,2,250,300,100,cosine,0.001,0.99,dicta-il/MsBERT,BOW-n_gram & starr,9313
0.2810479,0.2526886634372239,0.8645254124338653,0.46528497409326425,236,1,250,300,100,cosine,0.001,0.99,yonatanlou/BEREL-finetuned-DSS-maskedLM,tfidf,9313
0.2634592,0.2113405026165967,0.8323847294834101,0.41865284974093264,245,1,250,300,100,cosine,0.001,0.99,yonatanlou/BEREL-finetuned-DSS-maskedLM,trigram,9313
0.21080871,0.19576271186440677,0.8174759828758994,0.40103626943005183,231,1,250,300,100,cosine,0.001,0.99,yonatanlou/BEREL-finetuned-DSS-maskedLM,BOW-n_gram,9313
0.18885985,0.09839319912186463,0.6949125409989353,0.2694300518134715,193,1,250,300,100,cosine,0.001,0.99,yonatanlou/BEREL-finetuned-DSS-maskedLM,starr,9313
0.27976122,0.24901291375983375,0.864544314704593,0.47772020725388603,245,2,250,300,100,cosine,0.001,0.99,yonatanlou/BEREL-finetuned-DSS-maskedLM,tfidf & trigram,9313
0.24515043,0.21430869577934422,0.8703031319545087,0.42590673575129534,249,2,250,300,100,cosine,0.001,0.99,yonatanlou/BEREL-finetuned-DSS-maskedLM,tfidf & BOW-n_gram,9313
0.16338621,0.15161858323174862,0.7525807964912352,0.37202072538860104,226,2,250,300,100,cosine,0.001,0.99,yonatanlou/BEREL-finetuned-DSS-maskedLM,tfidf & starr,9313
0.2480988,0.23315058697336274,0.851926210135582,0.43730569948186526,241,2,250,300,100,cosine,0.001,0.99,yonatanlou/BEREL-finetuned-DSS-maskedLM,trigram & BOW-n_gram,9313
0.16730182,0.15295609019311684,0.7442134658808757,0.36683937823834195,244,2,250,300,100,cosine,0.001,0.99,yonatanlou/BEREL-finetuned-DSS-maskedLM,trigram & starr,9313
0.15383002,0.15027270507150028,0.747247895495353,0.35854922279792745,206,2,250,300,100,cosine,0.001,0.99,yonatanlou/BEREL-finetuned-DSS-maskedLM,BOW-n_gram & starr,9313
0.26572344,0.1816858349104673,0.8587556341038824,0.3917098445595855,103,1,250,300,100,cosine,0.001,0.99,yonatanlou/alephbert-base-finetuned-DSS-maskedLM,tfidf,9313
0.25237522,0.18162987344645593,0.8297114562723662,0.37927461139896373,178,1,250,300,100,cosine,0.001,0.99,yonatanlou/alephbert-base-finetuned-DSS-maskedLM,trigram,9313
0.22271416,0.16370674548165198,0.7796233468852031,0.38031088082901554,170,1,250,300,100,cosine,0.001,0.99,yonatanlou/alephbert-base-finetuned-DSS-maskedLM,BOW-n_gram,9313
0.21123707,0.09879180448364572,0.6732071418155694,0.27979274611398963,118,1,250,300,100,cosine,0.001,0.99,yonatanlou/alephbert-base-finetuned-DSS-maskedLM,starr,9313
0.25620627,0.17506955089990348,0.8405892097613452,0.38341968911917096,128,2,250,300,100,cosine,0.001,0.99,yonatanlou/alephbert-base-finetuned-DSS-maskedLM,tfidf & trigram,9313
0.2415846,0.20665207877461705,0.8176769732930471,0.4310880829015544,198,2,250,300,100,cosine,0.001,0.99,yonatanlou/alephbert-base-finetuned-DSS-maskedLM,tfidf & BOW-n_gram,9313
0.17612511,0.13276139679983898,0.7498595405929589,0.32849740932642485,52,2,250,300,100,cosine,0.001,0.99,yonatanlou/alephbert-base-finetuned-DSS-maskedLM,tfidf & starr,9313
0.24308538,0.16453314326443336,0.8200834896065412,0.3854922279792746,158,2,250,300,100,cosine,0.001,0.99,yonatanlou/alephbert-base-finetuned-DSS-maskedLM,trigram & BOW-n_gram,9313
0.17490041,0.1332979288369623,0.7427011723748915,0.32849740932642485,157,2,250,300,100,cosine,0.001,0.99,yonatanlou/alephbert-base-finetuned-DSS-maskedLM,trigram & starr,9313
0.16815826,0.12381479339050828,0.7176762436475494,0.32538860103626943,79,2,250,300,100,cosine,0.001,0.99,yonatanlou/alephbert-base-finetuned-DSS-maskedLM,BOW-n_gram & starr,9313
0.2597119,0.23857958600999285,0.8588437701354419,0.44766839378238343,227,1,250,300,100,cosine,0.001,0.99,yonatanlou/dictabert-finetuned-DSS-maskedLM,tfidf,9313
0.22995591,0.1917943787818809,0.8400872370333771,0.38652849740932643,228,1,250,300,100,cosine,0.001,0.99,yonatanlou/dictabert-finetuned-DSS-maskedLM,trigram,9313
0.19620866,0.17204417204417205,0.7972603957996047,0.3772020725388601,239,1,250,300,100,cosine,0.001,0.99,yonatanlou/dictabert-finetuned-DSS-maskedLM,BOW-n_gram,9313
0.19582535,0.09070118357146226,0.6882756070183427,0.26528497409326424,198,1,250,300,100,cosine,0.001,0.99,yonatanlou/dictabert-finetuned-DSS-maskedLM,starr,9313
0.25091296,0.2087937384898711,0.8370289838469172,0.4,239,2,250,300,100,cosine,0.001,0.99,yonatanlou/dictabert-finetuned-DSS-maskedLM,tfidf & trigram,9313
0.23290358,0.1743485296579432,0.850247599016744,0.3844559585492228,122,2,250,300,100,cosine,0.001,0.99,yonatanlou/dictabert-finetuned-DSS-maskedLM,tfidf & BOW-n_gram,9313
0.1644456,0.13044925124792014,0.7410075736567782,0.32849740932642485,125,2,250,300,100,cosine,0.001,0.99,yonatanlou/dictabert-finetuned-DSS-maskedLM,tfidf & starr,9313
0.23052607,0.1816889472101479,0.8354200538799339,0.39689119170984455,168,2,250,300,100,cosine,0.001,0.99,yonatanlou/dictabert-finetuned-DSS-maskedLM,trigram & BOW-n_gram,9313
0.17546003,0.13350313882885664,0.7306952105732979,0.33367875647668394,103,2,250,300,100,cosine,0.001,0.99,yonatanlou/dictabert-finetuned-DSS-maskedLM,trigram & starr,9313
0.15821414,0.12773833671399595,0.7304168215091462,0.3243523316062176,192,2,250,300,100,cosine,0.001,0.99,yonatanlou/dictabert-finetuned-DSS-maskedLM,BOW-n_gram & starr,9313
