text_type,book_name,bert_feature_clusters_score,bert_feature_random_score_mean,bert_feature_random_score_std,starr_feature_clusters_score,starr_feature_random_score_mean,starr_feature_random_score_std
sectarian_texts,CD,0.5330634278002699,0.3174852901484481,0.040227533136896886,0.29487179487179493,0.31658326585695007,0.044829889633940745
sectarian_texts,1QS,0.6388888888888888,0.31526141141141134,0.039405017074776866,0.5578078078078078,0.31538153153153153,0.05633260857525148
sectarian_texts,1QSa,0.3999999999999999,0.19958,0.12226538185439081,0.35,0.19905,0.12308776340481616
sectarian_texts,Pesharim,0.4915780141843973,0.31941418439716324,0.028822024726335348,0.4002659574468086,0.3207238475177306,0.03961761397246902
sectarian_texts,Mysteries,0.39102564102564097,0.2839641025641024,0.07488336247135567,0.4871794871794872,0.28202564102564104,0.08913437543186799
sectarian_texts,Catena_Florilegium,0.2777777777777778,0.25929166666666664,0.055350034781458286,0.19444444444444442,0.2586277777777778,0.07806854201973046
sectarian_texts,4QS,0.42140151515151525,0.3133965909090909,0.04332052965479364,0.3655303030303031,0.3116751893939394,0.04602242290669714
sectarian_texts,4QD,0.47598343685300204,0.3239866666666667,0.032705403507980506,0.38902691511387166,0.3239977225672878,0.023895386379927056
sectarian_texts,Berakhot,0.2857142857142858,0.2490750000000001,0.05205201467900025,0.3214285714285714,0.24966428571428578,0.06430566793503842
sectarian_texts,4QH,0.4619565217391306,0.30551413043478276,0.06149795660113685,0.2500000000000001,0.3056188405797103,0.0554073223830659
sectarian_texts,4QM,0.45220588235294124,0.29426544117647063,0.0538840396311189,0.2279411764705883,0.29500220588235304,0.07076386618356016
sectarian_texts,Songs_of_Maskil,0.5272727272727272,0.2741127272727273,0.08890498886242602,0.26363636363636345,0.27410363636363627,0.056783828189033304
straddling_texts,Pseudo_Jeremiah,0.38095238095238093,0.28851523809523805,0.054459334047090656,0.2571428571428571,0.28801523809523816,0.0619376684993738
straddling_texts,4QMMT,0.5095238095238096,0.28852952380952385,0.06264561858133129,0.3047619047619048,0.2879304761904762,0.054325382924853574
straddling_texts,Barkhi_Nafshi,0.5,0.2596305555555556,0.10440102935582367,0.22222222222222232,0.2591527777777779,0.07811622666787713
non_sectarian_texts,Book_of_Jubilees,0.5284552845528456,0.31755830429732873,0.03362752604856537,0.4117305458768873,0.31683704994192796,0.046200631018959736
non_sectarian_texts,Collections_of_psalms,0.4363636363636363,0.2729999999999999,0.08840828464226887,0.34545454545454546,0.2723490909090909,0.060984667792692966
non_sectarian_texts,non_biblical_psalms,0.5178571428571429,0.24842500000000003,0.08710190189528302,0.5,0.24792142857142863,0.08845623817136115
