best_loss,epoch,ari,nmi,jaccard,dasgupta,num_adjs,epochs,hidden_dim,latent_dim,distance,learning_rate,threshold,bert_model,adj_type,num_edges
10059.6923828125,482,0.04154456151666362,0.04319030532645491,0.33329578077307276,0.8713562149809526,1,500,500,100,cosine,0.001,0.99,dicta-il/dictabert,tfidf,3807
13781.7353515625,490,0.0025429203473505365,0.00987903908959707,0.40818756449696564,0.8610225004487503,1,500,500,100,cosine,0.001,0.99,dicta-il/BEREL,tfidf,3807
10290.265625,498,0.014146495509356314,0.038958473308506485,0.38296155394566694,0.8572199089112781,1,500,300,100,cosine,0.001,0.99,dicta-il/dictabert,tfidf,3807
19727.498046875,477,-0.05543654778869463,0.010410916545477048,0.09684702609475034,0.8567686894448117,1,500,500,100,cosine,0.001,0.99,onlplab/alephbert-base,tfidf,3807
17133.09375,498,0.014935663209083292,0.024584697150898005,0.3771078633247981,0.8477478358918941,1,500,500,100,cosine,0.001,0.99,yonatanlou/alephbert-base-finetuned-DSS-maskedLM,tfidf,3807
12012.33984375,492,0.016644782007559176,0.02307184177250874,0.3719906643091761,0.8471519215754216,1,500,500,100,cosine,0.001,0.99,yonatanlou/BEREL-finetuned-DSS-maskedLM,tfidf,3807
20407.380859375,494,-0.056407942592147126,0.010787721916448108,0.09848471525615535,0.8441628305950325,1,500,300,100,cosine,0.001,0.99,onlplab/alephbert-base,tfidf,3807
6242.0078125,466,-0.07549556869870697,0.021469523895772485,0.14437459228373745,0.8418063716092189,1,500,300,100,cosine,0.001,0.99,yonatanlou/dictabert-finetuned-DSS-maskedLM,tfidf,3807
5998.9453125,497,-0.05444138152931422,0.010034975041474221,0.09520941759250567,0.8399805510676946,1,500,500,100,cosine,0.001,0.99,yonatanlou/dictabert-finetuned-DSS-maskedLM,tfidf,3807
10595.3466796875,482,0.027984476803883655,0.0395733144513634,0.35639725326281674,0.8385510094668825,2,500,500,100,cosine,0.001,0.99,dicta-il/dictabert,tfidf & BOW-n_gram,3807
10184.76953125,475,0.07362600762957466,0.05530090839630055,0.289112418440072,0.8374437674849751,2,500,500,100,cosine,0.001,0.99,dicta-il/dictabert,tfidf & trigram,3807
14439.3935546875,497,-0.05447070180886961,0.009578005649233938,0.13858997764085967,0.8368405096328819,1,500,300,100,cosine,0.001,0.99,dicta-il/BEREL,tfidf,3807
17035.73046875,498,0.05095678292078134,0.05425638659370069,0.32418859812662637,0.8344462450377623,2,500,500,100,cosine,0.001,0.99,yonatanlou/alephbert-base-finetuned-DSS-maskedLM,trigram & BOW-n_gram,3807
10458.2998046875,498,0.09389286827217382,0.07138133492519104,0.2727169791682156,0.8327594077074281,2,500,300,100,cosine,0.001,0.99,dicta-il/dictabert,trigram & BOW-n_gram,3807
10254.9765625,475,0.0723318179632216,0.05469967493577632,0.2906119263021525,0.8320609558750678,1,500,500,100,cosine,0.001,0.99,dicta-il/dictabert,trigram,3807
12713.1796875,497,-0.0513085252605448,0.008913408526899043,0.09029707178805418,0.8288863726245581,1,500,300,100,cosine,0.001,0.99,yonatanlou/BEREL-finetuned-DSS-maskedLM,tfidf,3807
17841.375,488,-0.05237785709940178,0.009286102907485973,0.09193444086143075,0.8276328038958398,1,500,300,100,cosine,0.001,0.99,yonatanlou/alephbert-base-finetuned-DSS-maskedLM,tfidf,3807
10523.4267578125,498,0.07659840288282203,0.05983182526067573,0.2883792556003258,0.8230566932729967,1,500,300,100,cosine,0.001,0.99,dicta-il/dictabert,trigram,3807
12192.546875,485,0.004469486589534825,0.04102611261782202,0.4018824274182251,0.8207190011004358,2,500,500,100,cosine,0.001,0.99,yonatanlou/BEREL-finetuned-DSS-maskedLM,tfidf & trigram,3807
10181.736328125,475,0.005316677545686646,0.024678000521871125,0.40078364132771394,0.8205068545158405,2,500,500,100,cosine,0.001,0.99,dicta-il/dictabert,trigram & BOW-n_gram,3807
