epoch,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,num_adjs,epochs,hidden_dim,latent_dim,distance,learning_rate,threshold,bert_model,adj_type,num_edges
403,0.00040343700675293803,1.0,0.0011961902491748333,1.0,0.023419346660375595,0.9892473220825195,0.989247311827957,0.989247311827957,0.989247311827957,0.9940119760479043,0.9523809523809523,0.971987951807229,0.9893760865366042,0.989247311827957,0.9890108822386319,1,500,300,100,cosine,0.001,0.99,dicta-il/BEREL,tfidf,3807
385,0.0005860023084096611,1.0,0.013211100362241268,1.0,0.05312241613864899,0.9731183052062988,0.9731182795698925,0.9731182795698925,0.9731182795698925,0.9409638554216868,0.9225108225108225,0.931471520153268,0.9726778080062185,0.9731182795698925,0.972831060539433,1,500,300,100,cosine,0.001,0.99,dicta-il/BEREL,trigram,3807
195,0.0010615127393975854,1.0,0.036838348954916,0.9772727489471436,0.03995121270418167,0.9838709831237793,0.9838709677419355,0.9838709677419355,0.9838709677419355,0.9910714285714286,0.9285714285714286,0.957033957033957,0.9841589861751151,0.9838709677419355,0.9833232736458541,1,500,300,100,cosine,0.001,0.99,dicta-il/BEREL,BOW-n_gram,3807
45,0.08605701476335526,0.9689922332763672,0.07311385124921799,0.9772727489471436,0.18114052712917328,0.9193548560142517,0.9193548387096774,0.9193548387096774,0.9193548387096774,0.8009036144578313,0.7883116883116883,0.7944145604598041,0.9177322191993782,0.9193548387096774,0.9184931816182991,1,500,300,100,cosine,0.001,0.99,dicta-il/BEREL,starr,3807
499,0.00041716007399372756,1.0,0.0015893856761977077,1.0,0.015471870079636574,0.9946236610412598,0.9946236559139785,0.9946236559139785,0.9946236559139785,0.9969879518072289,0.9761904761904762,0.9862943040306535,0.9946560435289545,0.9946236559139785,0.9945662121078868,2,500,300,100,cosine,0.001,0.99,dicta-il/BEREL,tfidf & trigram,3807
498,0.0004042214131914079,1.0,0.004126296378672123,1.0,0.017771432176232338,0.9946236610412598,0.9946236559139785,0.9946236559139785,0.9946236559139785,0.9969879518072289,0.9761904761904762,0.9862943040306535,0.9946560435289545,0.9946236559139785,0.9945662121078868,2,500,300,100,cosine,0.001,0.99,dicta-il/BEREL,tfidf & BOW-n_gram,3807
497,0.003020158503204584,1.0,0.0007204061257652938,1.0,0.10749151557683945,0.9677419066429138,0.967741935483871,0.967741935483871,0.967741935483871,0.9069085089357162,0.9402597402597402,0.9226718403547671,0.9694800333852469,0.967741935483871,0.9683767255561118,2,500,300,100,cosine,0.001,0.99,dicta-il/BEREL,tfidf & starr,3807
500,0.000471369712613523,1.0,0.003386163618415594,1.0,0.03739283233880997,0.9784946441650391,0.978494623655914,0.978494623655914,0.978494623655914,0.9463203463203463,0.9463203463203463,0.9463203463203463,0.978494623655914,0.978494623655914,0.978494623655914,2,500,300,100,cosine,0.001,0.99,dicta-il/BEREL,trigram & BOW-n_gram,3807
360,0.009257660247385502,0.9974160194396973,0.0003982316411565989,1.0,0.24824009835720062,0.9408602118492126,0.9408602150537635,0.9408602150537635,0.9408602150537635,0.8329566003616637,0.9251082251082251,0.8707272382637266,0.9524806043282974,0.9408602150537635,0.9444436518240573,2,500,300,100,cosine,0.001,0.99,dicta-il/BEREL,trigram & starr,3807
55,0.03798482194542885,0.9870800971984863,0.03813843056559563,0.9772727489471436,0.11926576495170593,0.9408602118492126,0.9408602150537635,0.9408602150537635,0.9408602150537635,0.8329566003616637,0.9251082251082251,0.8707272382637266,0.9524806043282974,0.9408602150537635,0.9444436518240573,2,500,300,100,cosine,0.001,0.99,dicta-il/BEREL,BOW-n_gram & starr,3807
500,0.00030942197190597653,1.0,0.0005762790679000318,1.0,0.016574745997786522,0.9946236610412598,0.9946236559139785,0.9946236559139785,0.9946236559139785,0.9969879518072289,0.9761904761904762,0.9862943040306535,0.9946560435289545,0.9946236559139785,0.9945662121078868,1,500,300,100,cosine,0.001,0.99,onlplab/alephbert-base,tfidf,3807
51,0.01294567808508873,0.9974160194396973,0.010971827432513237,1.0,0.05278867855668068,0.9838709831237793,0.9838709677419355,0.9838709677419355,0.9838709677419355,0.9689759036144578,0.9493506493506494,0.9588829120919607,0.9836669257675864,0.9838709677419355,0.9836986363236597,1,500,300,100,cosine,0.001,0.99,onlplab/alephbert-base,trigram,3807
475,0.0005685061332769692,1.0,0.024968324229121208,0.9772727489471436,0.05199608579277992,0.9838709831237793,0.9838709677419355,0.9838709677419355,0.9838709677419355,0.9514966740576496,0.9701298701298702,0.9605570085530502,0.9843269437093198,0.9838709677419355,0.984034002421578,1,500,300,100,cosine,0.001,0.99,onlplab/alephbert-base,BOW-n_gram,3807
483,0.06719336658716202,0.9767441749572754,0.0036935023963451385,1.0,0.4497583508491516,0.8870967626571655,0.8870967741935484,0.8870967741935484,0.8870967741935484,0.7307692307692308,0.8116883116883117,0.7614073666849918,0.9094292803970224,0.8870967741935484,0.8954760680274522,1,500,300,100,cosine,0.001,0.99,onlplab/alephbert-base,starr,3807
439,0.0003669678117148578,1.0,0.001136350561864674,1.0,0.011899362318217754,0.9946236610412598,0.9946236559139785,0.9946236559139785,0.9946236559139785,0.9969879518072289,0.9761904761904762,0.9862943040306535,0.9946560435289545,0.9946236559139785,0.9945662121078868,2,500,300,100,cosine,0.001,0.99,onlplab/alephbert-base,tfidf & trigram,3807
