epoch,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,num_adjs,epochs,hidden_dim,latent_dim,distance,learning_rate,threshold,bert_model,adj_type,num_edges
82,0.19569730758666992,0.9407665729522705,1.0713798999786377,0.738095223903656,0.7115865349769592,0.837133526802063,0.8371335504885994,0.8371335504885994,0.8371335504885994,0.7734687397226097,0.7215076870651662,0.7285551397465564,0.8337658775194702,0.8371335504885994,0.8246682454452473,1,500,300,100,cosine,0.001,0.99,dicta-il/BEREL,tfidf,9313
70,0.20505286753177643,0.9337978959083557,1.180362343788147,0.738095223903656,0.7492309212684631,0.8306189179420471,0.8306188925081434,0.8306188925081434,0.8306188925081432,0.7256070623051727,0.6894322259765473,0.6890270334512598,0.8197816611809798,0.8306188925081434,0.8122833016246718,1,500,500,100,cosine,0.001,0.99,yonatanlou/BEREL-finetuned-DSS-maskedLM,tfidf,9313
59,0.19982799887657166,0.9355400800704956,1.1411255598068237,0.726190447807312,0.7305796146392822,0.8306189179420471,0.8306188925081434,0.8306188925081434,0.8306188925081432,0.7448549893796074,0.7206670437903123,0.7166940344119666,0.8187430717508474,0.8306188925081434,0.8137772126943228,1,500,500,100,cosine,0.001,0.99,dicta-il/dictabert,tfidf,9313
80,0.2272249311208725,0.9303135871887207,1.1607328653335571,0.7142857313156128,0.7281979322433472,0.8306189179420471,0.8306188925081434,0.8306188925081434,0.8306188925081432,0.7015673655039949,0.6806085642581486,0.6684239548428357,0.8128989210922101,0.8306188925081434,0.8087935504282604,1,500,300,100,cosine,0.001,0.99,yonatanlou/BEREL-finetuned-DSS-maskedLM,tfidf,9313
92,0.1726236343383789,0.9407665729522705,1.1395397186279297,0.738095223903656,0.7152664065361023,0.8273615837097168,0.8273615635179153,0.8273615635179153,0.8273615635179153,0.7702809106098579,0.7417304479146584,0.7396586589677769,0.8213201230546507,0.8273615635179153,0.815218602902326,1,500,300,100,cosine,0.001,0.99,dicta-il/dictabert,tfidf,9313
65,0.20017854869365692,0.9390243887901306,1.1267801523208618,0.726190447807312,0.7157115340232849,0.8273615837097168,0.8273615635179153,0.8273615635179153,0.8273615635179153,0.7718386137703526,0.7067894009653012,0.7147329499419283,0.824386088013714,0.8273615635179153,0.8117153700301812,1,500,300,100,cosine,0.001,0.99,onlplab/alephbert-base,tfidf,9313
76,0.2366327941417694,0.9268292784690857,1.3429491519927979,0.7142857313156128,0.8094540238380432,0.8241042494773865,0.8241042345276873,0.8241042345276873,0.8241042345276873,0.7748885960795744,0.7236022664623771,0.7255242211751106,0.8173372115987692,0.8241042345276873,0.8069565062282481,1,500,500,100,cosine,0.001,0.99,yonatanlou/dictabert-finetuned-DSS-maskedLM,tfidf,9313
58,0.2649229168891907,0.9181184768676758,1.2433788776397705,0.6904761791229248,0.763618528842926,0.8175895810127258,0.8175895765472313,0.8175895765472313,0.8175895765472313,0.7015196505757147,0.6793445066783017,0.6762970790002324,0.796770939410084,0.8175895765472313,0.7963139672678075,1,500,300,100,cosine,0.001,0.99,yonatanlou/alephbert-base-finetuned-DSS-maskedLM,tfidf,9313
57,0.2747008800506592,0.9233449697494507,1.1331007480621338,0.738095223903656,0.7327428460121155,0.8175895810127258,0.8175895765472313,0.8175895765472313,0.8175895765472313,0.7009916087908314,0.6652723957329221,0.6607301648408727,0.8023382431567744,0.8175895765472313,0.795186587990699,1,500,300,100,cosine,0.001,0.99,dicta-il/MsBERT,tfidf,9313
59,0.218221053481102,0.9250870943069458,1.0692055225372314,0.75,0.7071738243103027,0.8175895810127258,0.8175895765472313,0.8175895765472313,0.8175895765472313,0.714912883169462,0.6864161204292784,0.6876106486506256,0.8036450316784193,0.8175895765472313,0.8016661210064745,1,500,500,100,cosine,0.001,0.99,dicta-il/BEREL,tfidf,9313
52,0.2392028123140335,0.9250870943069458,1.0876386165618896,0.738095223903656,0.7203819155693054,0.8143322467803955,0.8143322475570033,0.8143322475570033,0.8143322475570032,0.7613794580410302,0.6940928442902127,0.6994584000687878,0.8105574264911448,0.8143322475570033,0.7949134107239769,1,500,500,100,cosine,0.001,0.99,dicta-il/MsBERT,tfidf,9313
105,0.2181839644908905,0.9285714030265808,1.3853331804275513,0.6904761791229248,0.8500573039054871,0.8013029098510742,0.8013029315960912,0.8013029315960912,0.8013029315960912,0.7138403668829904,0.6746481504029979,0.6720235068559847,0.7912939193831281,0.8013029315960912,0.7841260071309746,1,500,300,100,cosine,0.001,0.99,yonatanlou/dictabert-finetuned-DSS-maskedLM,tfidf,9313
42,0.26380473375320435,0.9128919839859009,1.1380722522735596,0.6666666865348816,0.7334001064300537,0.8013029098510742,0.8013029315960912,0.8013029315960912,0.8013029315960912,0.7152416194035004,0.6694043602596235,0.6719700571334188,0.7856332043877255,0.8013029315960912,0.7794781699318077,1,500,500,100,cosine,0.001,0.99,onlplab/alephbert-base,tfidf,9313
44,0.2855718731880188,0.904181182384491,1.2041206359863281,0.6904761791229248,0.7885854244232178,0.7947883009910583,0.7947882736156352,0.7947882736156352,0.7947882736156352,0.6394736842105263,0.6237751429856693,0.6147734617335342,0.7668043275942299,0.7947882736156352,0.7698848808867903,1,500,500,100,cosine,0.001,0.99,yonatanlou/alephbert-base-finetuned-DSS-maskedLM,tfidf,9313
84,0.2507460415363312,0.9128919839859009,1.2961440086364746,0.6785714030265808,0.9597545862197876,0.791530966758728,0.7915309446254072,0.7915309446254072,0.7915309446254072,0.6304978774455519,0.602865247633253,0.5912236634399356,0.7644273431666432,0.7915309446254072,0.7623337879979477,2,500,500,100,cosine,0.001,0.99,yonatanlou/dictabert-finetuned-DSS-maskedLM,trigram & BOW-n_gram,9313
51,0.26189008355140686,0.9181184768676758,1.2401612997055054,0.7142857313156128,0.9172762036323547,0.7882736325263977,0.7882736156351792,0.7882736156351792,0.7882736156351792,0.6476965473411839,0.6066685057786165,0.6069362144121605,0.7596981289213396,0.7882736156351792,0.7623835725682384,2,500,500,100,cosine,0.001,0.99,dicta-il/dictabert,trigram & BOW-n_gram,9313
58,0.3128078281879425,0.9059233665466309,1.3401788473129272,0.6785714030265808,0.9211960434913635,0.7817589640617371,0.7817589576547231,0.7817589576547231,0.7817589576547231,0.6136334719695252,0.5804349732292945,0.5778347698771957,0.7536069425597058,0.7817589576547231,0.7538750117728835,2,500,300,100,cosine,0.001,0.99,dicta-il/dictabert,tfidf & trigram,9313
45,0.30676043033599854,0.907665491104126,1.2449185848236084,0.6785714030265808,0.933434784412384,0.7785016298294067,0.7785016286644951,0.7785016286644951,0.7785016286644951,0.6664775298137797,0.6111147090059832,0.6144155386737682,0.7657286678284371,0.7785016286644951,0.7595890209307558,2,500,500,100,cosine,0.001,0.99,dicta-il/dictabert,tfidf & trigram,9313
44,0.3369585871696472,0.9024389982223511,1.2789537906646729,0.6785714030265808,0.961061954498291,0.7785016298294067,0.7785016286644951,0.7785016286644951,0.7785016286644951,0.6286597999948755,0.5978051530648482,0.5908107344577634,0.7464206783438382,0.7785016286644951,0.74943688390755,1,500,500,100,cosine,0.001,0.99,dicta-il/dictabert,trigram,9313
67,0.3194943964481354,0.9146341681480408,1.3178831338882446,0.6428571343421936,0.9504995942115784,0.7785016298294067,0.7785016286644951,0.7785016286644951,0.7785016286644951,0.6032543127214791,0.5777125421516003,0.5719675415050359,0.747625583697729,0.7785016286644951,0.7513527025936892,2,500,300,100,cosine,0.001,0.99,yonatanlou/BEREL-finetuned-DSS-maskedLM,tfidf & BOW-n_gram,9313
69,0.29386913776397705,0.9128919839859009,1.302901268005371,0.6785714030265808,0.9634792804718018,0.7752442955970764,0.7752442996742671,0.7752442996742671,0.7752442996742671,0.600208362297548,0.5749574974886609,0.565171598542256,0.7466380699831563,0.7752442996742671,0.7475747864300689,2,500,500,100,cosine,0.001,0.99,yonatanlou/dictabert-finetuned-DSS-maskedLM,tfidf & trigram,9313
71,0.2777358889579773,0.911149799823761,1.2322403192520142,0.738095223903656,0.9486758708953857,0.7752442955970764,0.7752442996742671,0.7752442996742671,0.7752442996742671,0.5857253878732207,0.5649011065112173,0.5613914174072514,0.7400803258822036,0.7752442996742671,0.7485973389150665,2,500,300,100,cosine,0.001,0.99,yonatanlou/BEREL-finetuned-DSS-maskedLM,tfidf & trigram,9313
63,0.28018373250961304,0.9128919839859009,1.3404074907302856,0.7023809552192688,0.9093566536903381,0.7687296271324158,0.7687296416938111,0.7687296416938111,0.768729641693811,0.5772440492918031,0.5568969615333881,0.5502512225710647,0.7243735711250936,0.7687296416938111,0.734903639751171,2,500,300,100,cosine,0.001,0.99,dicta-il/dictabert,trigram & BOW-n_gram,9313
61,0.31295862793922424,0.907665491104126,1.3842618465423584,0.6785714030265808,0.9560452699661255,0.7687296271324158,0.7687296416938111,0.7687296416938111,0.768729641693811,0.575489663326891,0.5580777982405406,0.5489077828324568,0.727297411671084,0.7687296416938111,0.7365181082209818,1,500,300,100,cosine,0.001,0.99,dicta-il/dictabert,trigram,9313
